image_name,xmin,xmax,ymin,ymax,label
image86.jpg,763.96,301.26,864.38,384.63,Peach
image86.jpg,767.75,401.68,911.75,498.32,Banana
image86.jpg,974.27,363.79,1080.38,458.53,Green apple
image87.jpg,561.20,436.36,644.59,565.20,Lemon
image87.jpg,743.12,430.67,841.64,542.46,Mango
image88.jpg,498.69,430.67,705.22,591.73,Pineapple
image88.jpg,701.43,383.30,834.06,525.41,Watermelon
image88.jpg,841.64,481.83,919.30,559.50,Kiwi
image88.jpg,1042.48,424.99,1093.60,591.73,Banana
image89.jpg,496.80,470.46,616.17,580.36,Coconut
image89.jpg,652.17,250.11,746.90,356.21,Mango
image89.jpg,663.35,356.02,765.85,424.42,Lemon
image89.jpg,989.40,403.60,1086.06,496.40,Peach
image89.jpg,794.27,246.88,902.27,339.73,Orange
image9.jpg,726.06,457.20,817.01,557.62,Green apple
image90.jpg,828.38,479.90,961.01,601.20,Pineapple
image91.jpg,720.38,523.52,798.06,612.57,Kiwi
image94.jpg,506.27,459.09,625.64,551.94,Green apple
image94.jpg,1061.40,603.09,1201.64,756.57,Watermelon
image95.jpg,1002.70,411.73,1139.12,555.73,Watermelon
image95.jpg,868.17,606.88,987.54,718.67,Coconut
image96.jpg,491.12,582.25,563.12,701.62,Lemon
